!!SBtab	Document='covid19' TableName='Observations' TableType='QuantityMatrix TableTitle='taken from wikipedia article'															
!TimePoint	!Time	>INFCT	SDINFCT	>REC	SDREC	>DEAD	SDDEAD	>KRIT	SDKRIT	%	%Cases	%Population of Sweden	%Recoveries	%Deaths	%new iva cases	%cumulative iva cases
2020/01/31	0	9.881422924901186E-08	0.00022727272727272727	0	1.5810276679841897E-06	0	3.9525691699604737E-07	0	2.6976284584980235E-06	%	1	10120000	0	0	0	0
2020/02/26	26	1.976284584980237E-07	0.00025029644268774703	0	1.5810276679841897E-06	0	6.225296442687747E-07	0	2.6976284584980235E-06	%	2		0	0	0	0
2020/02/27	27	6.91699604743083E-07	0.0003030632411067194	0	1.5810276679841897E-06	0	7.312252964426877E-07	0	2.6976284584980235E-06	%	7		0	0	0	0
2020/02/28	28	1.0869565217391303E-06	0.0003034584980237154	0	1.5810276679841897E-06	0	7.312252964426877E-07	0	2.6976284584980235E-06	%	11		0	0	0	0
2020/02/29	29	1.284584980237154E-06	0.00030365612648221345	0	1.5810276679841897E-06	0	7.312252964426877E-07	0	2.6976284584980235E-06	%	13		0	0	0	0
2020/03/01	30	1.383399209486166E-06	0.00030375494071146244	0	1.5810276679841897E-06	0	7.312252964426877E-07	0	2.6976284584980235E-06	%	14		0	0	0	0
2020/03/02	31	1.4822134387351778E-06	0.0003038537549407115	0	1.5810276679841897E-06	0	7.312252964426877E-07	0	2.6976284584980235E-06	%	15		0	0	0	0
2020/03/03	32	2.9644268774703556E-06	0.0003053359683794467	1.976284584980237E-07	1.7786561264822134E-06	0	7.312252964426877E-07	0	2.6976284584980235E-06	%	30		2	0	0	0
2020/03/04	33	5.138339920948616E-06	0.0003075098814229249	1.976284584980237E-07	1.7786561264822134E-06	0	7.312252964426877E-07	0	2.6976284584980235E-06	%	52		2	0	0	0
2020/03/05	34	9.288537549407115E-06	0.0003116600790513834	1.976284584980237E-07	1.7786561264822134E-06	0	7.312252964426877E-07	0	2.6976284584980235E-06	%	94		2	0	0	0
2020/03/06	35	1.3537549407114625E-05	0.0003159090909090909	1.976284584980237E-07	1.7786561264822134E-06	0	7.312252964426877E-07	1.976284584980237E-07	2.717391304347826E-06	%	137		2	0	2	2
2020/03/07	36	1.590909090909091E-05	0.0003182806324110672	1.976284584980237E-07	1.7786561264822134E-06	0	7.312252964426877E-07	2.9644268774703555E-07	2.7272727272727272E-06	%	161		2	0	1	3
2020/03/08	37	2.0059288537549406E-05	0.0003224308300395257	1.976284584980237E-07	1.7786561264822134E-06	0	7.312252964426877E-07	4.940711462450592E-07	2.7470355731225296E-06	%	203		2	0	2	5
2020/03/09	38	2.450592885375494E-05	0.00032687747035573125	1.976284584980237E-07	1.7786561264822134E-06	0	7.312252964426877E-07	4.940711462450592E-07	2.7470355731225296E-06	%	248		2	0	0	5
2020/03/10	39	3.2213438735177865E-05	0.00033458498023715416	1.976284584980237E-07	1.7786561264822134E-06	0	7.312252964426877E-07	6.91699604743083E-07	2.766798418972332E-06	%	326		2	0	2	7
2020/03/11	40	4.555335968379446E-05	0.00034792490118577075	1.976284584980237E-07	1.7786561264822134E-06	9.881422924901186E-08	7.411067193675889E-07	6.91699604743083E-07	2.766798418972332E-06	%	461		2	1	0	7
