!!SBtab	Document='covid19' TableName='Sweden' TableType='QuantityMatrix' TableTitle='taken from folkhälsomyndigheten 2020-04-05'																			
!TimePoint	!Time	>INFCT	SDINFCT	>REC	SDREC	>DEAD	SDDEAD	>KRIT	SDKRIT	>NEQ0	SDNEQ0	>NEQ1	SDNEQ1	%	%new cases	%Cases	%Recoveries	%Deaths	%new iva cases	%cumulative iva cases
2020/01/31	0	1.976284584980237E-07	inf	0	inf	0	6.669960474308301E-07	0	1.2203557312252966E-06	1	0.5	1	0.5	%	1	2	0	0	0	0
2020/02/26	26	2.9644268774703555E-07	inf	0	inf	0	6.669960474308301E-07	0	1.2203557312252966E-06	1	0.5	1	0.5	%	1	3	0	0	0	0
2020/02/27	27	1.0869565217391303E-06	inf	0	inf	0	6.669960474308301E-07	0	1.2203557312252966E-06	1	0.5	1	0.5	%	8	11	0	0	0	0
2020/02/28	28	1.383399209486166E-06	inf	0	inf	0	6.669960474308301E-07	0	1.2203557312252966E-06	1	0.5	1	0.5	%	3	14	0	0	0	0
2020/02/29	29	1.383399209486166E-06	inf	0	inf	0	6.669960474308301E-07	0	1.2203557312252966E-06	1	0.5	1	0.5	%	0	14	0	0	0	0
2020/03/01	30	1.8774703557312253E-06	inf	0	inf	0	6.669960474308301E-07	0	1.2203557312252966E-06	1	0.5	1	0.5	%	5	19	0	0	0	0
2020/03/02	31	3.1620553359683794E-06	inf	0	inf	0	6.669960474308301E-07	0	1.2203557312252966E-06	1	0.5	1	0.5	%	13	32	0	0	0	0
2020/03/03	32	6.027667984189723E-06	inf	1.976284584980237E-07	inf	0	6.669960474308301E-07	0	1.2203557312252966E-06	1	0.5	1	0.5	%	29	61	2	0	0	0
2020/03/04	33	8.49802371541502E-06	inf	1.976284584980237E-07	inf	0	6.669960474308301E-07	0	1.2203557312252966E-06	1	0.5	1	0.5	%	25	86	2	0	0	0
2020/03/05	34	1.4426877470355732E-05	inf	1.976284584980237E-07	inf	0	6.669960474308301E-07	0	1.2203557312252966E-06	1	0.5	1	0.5	%	60	146	2	0	0	0
2020/03/06	35	1.7687747035573123E-05	inf	1.976284584980237E-07	inf	0	6.669960474308301E-07	9.881422924901186E-08	1.2252964426877473E-06	1	0.5	1	0.5	%	33	179	2	0	1	1
2020/03/07	36	2.2233201581027666E-05	inf	1.976284584980237E-07	inf	0	6.669960474308301E-07	1.976284584980237E-07	1.2302371541501978E-06	1	0.5	1	0.5	%	46	225	2	0	1	2
2020/03/08	37	3.2213438735177865E-05	inf	1.976284584980237E-07	inf	0	6.669960474308301E-07	3.952569169960474E-07	1.240118577075099E-06	1	0.5	1	0.5	%	101	326	2	0	2	4
2020/03/09	38	4.189723320158103E-05	inf	1.976284584980237E-07	inf	0	6.669960474308301E-07	3.952569169960474E-07	1.240118577075099E-06	1	0.5	1	0.5	%	98	424	2	0	0	4
2020/03/10	39	6.126482213438736E-05	inf	1.976284584980237E-07	inf	0	6.669960474308301E-07	5.928853754940711E-07	1.25E-06	1	0.5	1	0.5	%	196	620	2	0	2	6
2020/03/11	40	7.618577075098814E-05	inf	1.976284584980237E-07	inf	9.881422924901186E-08	6.719367588932806E-07	5.928853754940711E-07	1.25E-06	1	0.5	1	0.5	%	151	771	2	1	0	6
2020/03/12	41	9.120553359683794E-05	inf	1.976284584980237E-07	inf	9.881422924901186E-08	6.719367588932806E-07	6.91699604743083E-07	1.2549407114624508E-06	1	0.5	1	0.5	%	152	923	2	1	1	7
2020/03/13	42	9.822134387351779E-05	inf	1.976284584980237E-07	inf	1.976284584980237E-07	6.768774703557312E-07	8.893280632411067E-07	1.264822134387352E-06	1	0.5	1	0.5	%	71	994	2	2	2	9
2020/03/14	43	0.0001050395256916996	inf	1.976284584980237E-07	inf	2.9644268774703555E-07	6.818181818181818E-07	1.383399209486166E-06	1.289525691699605E-06	1	0.5	1	0.5	%	69	1063	2	3	5	14
2020/03/15	44	0.00011324110671936759	inf	1.976284584980237E-07	inf	4.940711462450592E-07	6.91699604743083E-07	1.976284584980237E-06	1.3191699604743085E-06	1	0.5	1	0.5	%	83	1146	2	5	6	20
2020/03/16	45	0.00012509881422924902	inf	1.976284584980237E-07	inf	6.91699604743083E-07	7.015810276679842E-07	2.4703557312252965E-06	1.3438735177865615E-06	1	0.5	1	0.5	%	120	1266	2	7	5	25
2020/03/17	46	0.00013942687747035574	inf	1.976284584980237E-07	inf	7.905138339920948E-07	7.065217391304348E-07	2.865612648221344E-06	1.3636363636363638E-06	1	0.5	1	0.5	%	145	1411	2	8	4	29
2020/03/18	47	0.00015355731225296442	inf	1.976284584980237E-07	inf	1.383399209486166E-06	7.361660079051383E-07	4.347826086956521E-06	1.4377470355731227E-06	1	0.5	1	0.5	%	143	1554	2	14	15	44
2020/03/19	48	0.00017134387351778655	inf	1.5810276679841897E-06	inf	2.075098814229249E-06	7.707509881422925E-07	5.138339920948616E-06	1.4772727272727273E-06	1	0.5	1	0.5	%	180	1734	16	21	8	52
2020/03/20	49	0.00018458498023715415	inf	1.5810276679841897E-06	inf	3.0632411067193677E-06	8.201581027667984E-07	7.015810276679842E-06	1.5711462450592887E-06	1	0.5	1	0.5	%	134	1868	16	31	19	71
2020/03/21	50	0.00019614624505928852	inf	1.5810276679841897E-06	inf	3.7549407114624506E-06	8.547430830039526E-07	8.201581027667985E-06	1.630434782608696E-06	1	0.5	1	0.5	%	117	1985	16	38	12	83
2020/03/22	51	0.0002141304347826087	inf	1.5810276679841897E-06	inf	4.940711462450593E-06	9.140316205533597E-07	1.0276679841897233E-05	1.7341897233201583E-06	1	0.5	1	0.5	%	182	2167	16	50	21	104
2020/03/23	52	0.00023685770750988142	inf	1.5810276679841897E-06	inf	6.027667984189723E-06	9.683794466403164E-07	1.4031620553359683E-05	1.921936758893281E-06	1	0.5	1	0.5	%	230	2397	16	61	38	142
2020/03/24	53	0.00026788537549407115	inf	1.5810276679841897E-06	inf	8.00395256916996E-06	1.067193675889328E-06	1.7391304347826085E-05	2.089920948616601E-06	1	0.5	1	0.5	%	314	2711	16	81	34	176
2020/03/25	54	0.0002960474308300395	inf	1.5810276679841897E-06	inf	1.0474308300395257E-05	1.190711462450593E-06	2.0454545454545454E-05	2.243083003952569E-06	1	0.5	1	0.5	%	285	2996	16	106	31	207
